company_name,RSSD_ID,RefinedAddress,City,State,Pin,webAddress,EntityType,Incorporated,SIC_Code,FiscalYearEnd,Regulator,FilerStatus
WINTRUST FINANCIAL CORP,2260406,"9700 WEST HIGGINS ROAD, 8TH FLOOR",ROSEMONT,IL,60018,,STATE COMMERCIAL BANKS,"IL, US",6022,1231,SEC,Large Accelerated
TEXAS CAPITAL BANCSHARES INC/TX,2706735,2000 MCKINNEY AVE,DALLAS,TX,75201,,STATE COMMERCIAL BANKS,,6022,1231,SEC,Large Accelerated
FNB CORP/PA/,3005332,F.N.B. CORPORATION,PITTSBURGH,PA,15212,,NATIONAL COMMERCIAL BANKS,"PA, US",6021,1231,SEC,Large Accelerated
"CULLEN/FROST BANKERS, INC.",1102367,111 W HOUSTON ST,SAN ANTONIO,TX,78205,,NATIONAL COMMERCIAL BANKS,"TX, US",6021,1231,SEC,Large Accelerated
ASSOCIATED BANC-CORP,1199563,433 MAIN STREET,GREEN BAY,WI,54301,,STATE COMMERCIAL BANKS,"WI, US",6022,1231,SEC,Large Accelerated
IBERIABANK CORP,2291914,200 WEST CONGRESS STREET,LAFAYETTE,LA,70501,,STATE COMMERCIAL BANKS,"LA, US",6022,1231,SEC,Large Accelerated
HANCOCK WHITNEY CORP,1086533,ONE HANCOCK WHITNEY PLAZA,GULFPORT,MS,39501,,STATE COMMERCIAL BANKS,"MS, US",6022,1231,SEC,Large Accelerated
PROSPERITY BANCSHARES INC,1109599,4295 SAN FELIPE,HOUSTON,TX,77027,,STATE COMMERCIAL BANKS,"TX, US",6022,1231,SEC,Large Accelerated
WEBSTER FINANCIAL CORP,1145476,FRED SMITH,WATERBURY,CT,06702,,NATIONAL COMMERCIAL BANKS,"DE, US",6021,1231,SEC,Large Accelerated
STERLING BANCORP,3083291,400 RELLA BLVD,MONTEBELLO,NY,10901,,NATIONAL COMMERCIAL BANKS,"DE, US",6021,1231,SEC,Large Accelerated
PINNACLE FINANCIAL PARTNERS INC,2925657,150 THIRD AVENUE SOUTH,NASHVILLE,TN,37201,,NATIONAL COMMERCIAL BANKS,"TN, US",6021,1231,SEC,Large Accelerated
WESTERN ALLIANCE BANCORPORATION,2349815,ONE E. WASHINGTON STREET,PHOENIX,AZ,85004,,STATE COMMERCIAL BANKS,"DE, US",6022,1231,SEC,Large Accelerated
COMMERCE BANCSHARES INC /MO/,1049341,1000 WALNUT,KANSAS CITY,MO,64106,,STATE COMMERCIAL BANKS,"MO, US",6022,1231,SEC,Large Accelerated
