company_name,RSSD_ID,RefinedAddress,City,State,Pin,webAddress,EntityType,Incorporated,SIC_Code,FiscalYearEnd,Regulator,FilerStatus
FIRST FINANCIAL CORP /IN/,1208595,ONE FIRST FINANCIAL PLAZA,TERRE HAUTE,IN,47807,,STATE COMMERCIAL BANKS,"IN, US",6022,1231,SEC,Accelerated
FIRST BANCSHARES INC /MS/,2385493,6480 US HIGHWAY 98 WEST,HATTIESBURG,MS,39402,,NATIONAL COMMERCIAL BANKS,"MS, US",6021,1231,SEC,Accelerated
EQUITY BANCSHARES INC,3180547,"7701 E. KELLOGG DRIVE, SUITE 200",WICHITA,KS,67207,,STATE COMMERCIAL BANKS,"KS, US",6022,1231,SEC,Accelerated
"FIRST MID BANCSHARES, INC.",1206760,1515 CHARLESTON AVE,MATTOON,IL,61938,,STATE COMMERCIAL BANKS,"DE, US",6022,1231,SEC,Accelerated
FRANKLIN FINANCIAL NETWORK INC.,3637582,722 COLUMBIA AVENUE,FRANKLIN,TN,37064,,STATE COMMERCIAL BANKS,"TN, US",6022,1231,SEC,Accelerated
"STOCK YARDS BANCORP, INC.",1249730,1040 E MAIN ST,LOUISVILLE,KY,40206,,STATE COMMERCIAL BANKS,"KY, US",6022,1231,SEC,Large Accelerated
CNB FINANCIAL CORP/PA,1118340,1 SOUTH SECOND STREET,CLEARFIELD,PA,16830,,STATE COMMERCIAL BANKS,"PA, US",6022,1231,SEC,Accelerated
NICOLET BANKSHARES INC,3103603,111 N WASHINGTON ST,GREEN BAY,WI,54301,,NATIONAL COMMERCIAL BANKS,"WI, US",6021,1231,SEC,Accelerated
FARMERS & MERCHANTS BANCORP,2781910,FARMERS AND MERCHANTS BANCORP,LODI,CA,95240-2184,,NATIONAL COMMERCIAL BANKS,"DE, US",6021,1231,SEC,Accelerated
BAR HARBOR BANKSHARES,1115385,82 MAIN ST,BAR HARBOR,ME,04609-0400,,STATE COMMERCIAL BANKS,"ME, US",6022,1231,SEC,Accelerated
MERCANTILE BANK CORP,2608763,310 LEONARD STREET NW,GRAND RAPIDS,MI,49504,,STATE COMMERCIAL BANKS,"MI, US",6022,1231,SEC,Accelerated
INDEPENDENT BANK CORP /MI/,1201925,4200 E BELTLINE AVE,GRAND RAPIDS,MI,49525,,STATE COMMERCIAL BANKS,"MI, US",6022,1231,SEC,Accelerated
METROPOLITAN BANK HOLDING CORP.,2820211,99 PARK AVENUE,NEW YORK,NY,10016,,STATE COMMERCIAL BANKS,"NY, US",6022,1231,SEC,Accelerated
"CBTX, INC.",3594872,"9 GREENWAY PLAZA, SUITE 110",HOUSTON,TX,77046,,NATIONAL COMMERCIAL BANKS,"TX, US",6021,1231,SEC,Accelerated
ENTERPRISE BANCORP INC /MA/,2461016,222 MERRIMACK ST,LOWELL,MA,01852,,STATE COMMERCIAL BANKS,"MA, US",6022,1231,SEC,Accelerated
HILLS BANCORPORATION,1245291,131 MAIN ST,HILLS,IA,52235,,STATE COMMERCIAL BANKS,"IA, US",6022,1231,SEC,Accelerated
REPUBLIC FIRST BANCORP INC,1398807,TWO LIBERTY PLACE,PHILADELPHIA,PA,19102,,STATE COMMERCIAL BANKS,"PA, US",6022,1231,SEC,Accelerated
ARROW FINANCIAL CORP,1048812,250 GLEN ST,GLENS FALLS,NY,12801,,NATIONAL COMMERCIAL BANKS,"NY, US",6021,1231,SEC,Accelerated
"SOUTH PLAINS FINANCIAL, INC.",2033226,5219 CITY BANK PARKWAY,LUBBOCK,TX,79407-3544,,STATE COMMERCIAL BANKS,"TX, US",6022,1231,SEC,Non-Accelerated
"HBT FINANCIAL, INC.",,401 N. HERSHEY ROAD,BLOOMINGTON,IL,61702,,STATE COMMERCIAL BANKS,"DE, US",6022,1231,SEC,Non-Accelerated
RBB BANCORP,4176855,1055 WILSHIRE BOULEVARD,LOS ANGELES,CA,90017,,STATE COMMERCIAL BANKS,"CA, US",6022,1231,SEC,Accelerated
CAPITAL CITY BANK GROUP INC,1085509,217 N MONROE ST,TALLAHASSEE,FL,32301,,STATE COMMERCIAL BANKS,"FL, US",6022,1231,SEC,Accelerated
BANCPLUS CORP,,1068 HIGHLAND COLONY PARKWAY,RIDGELAND,MS,39157,,STATE COMMERCIAL BANKS,"MS, US",6022,1231,SEC,Non-Accelerated
WILSON BANK HOLDING CO,2004141,623 W MAIN STREET,LEBANON,TN,37087,,NATIONAL COMMERCIAL BANKS,"TN, US",6021,1231,SEC,Accelerated
SMARTFINANCIAL INC.,1131497,5401 KINGSTON PIKE,KNOXVILLE,TN,37919,,NATIONAL COMMERCIAL BANKS,"TN, US",6021,1231,SEC,Accelerated
CAMBRIDGE BANCORP,1115013,1336 MASSACHUSETTS AVENUE,CAMBRIDGE,MA,02138,,STATE COMMERCIAL BANKS,,6022,1231,SEC,Accelerated
SOUTHERN NATIONAL BANCORP OF VIRGINIA INC,3325740,1770 TIMBERWOOD BOULEVARD,CHARLOTTESVILLE,VA,22911,,STATE COMMERCIAL BANKS,"VA, US",6022,1231,SEC,Accelerated
FIRST COMMUNITY BANKSHARES INC /VA/,1478017,PO BOX 989,BLUEFIELD,VA,24605,,STATE COMMERCIAL BANKS,"VA, US",6022,1231,SEC,Accelerated
"ATLANTIC CAPITAL BANCSHARES, INC.",3555686,RESURGENS PLAZA,ATLANTA,GA,30326,,STATE COMMERCIAL BANKS,"GA, US",6022,1231,SEC,Accelerated
BANK OF MARIN BANCORP,3590388,"504 REDWOOD BOULEVARD, SUITE 100",NOVATO,CA,94947,,STATE COMMERCIAL BANKS,"CA, US",6022,1231,SEC,Accelerated
SIERRA BANCORP,2976396,86 NORTH MAIN STREET,PORTERVILLE,CA,93257,,STATE COMMERCIAL BANKS,"CA, US",6022,1231,SEC,Accelerated
FARMERS NATIONAL BANC CORP /OH/,1071191,20 S BROAD STREET,CANFIELD,OH,44406,,STATE COMMERCIAL BANKS,"OH, US",6022,1231,SEC,Accelerated
OLD SECOND BANCORP INC,1206911,37 S RIVER ST,AURORA,IL,60507,,STATE COMMERCIAL BANKS,"DE, US",6022,1231,SEC,Accelerated
"CIVISTA BANCSHARES, INC.",1246533,100 EAST WATER ST,SANDUSKY,OH,44870,,STATE COMMERCIAL BANKS,"OH, US",6022,1231,SEC,Accelerated
"SPIRIT OF TEXAS BANCSHARES, INC.",3818390,1836 SPIRIT OF TEXAS WAY,CONROE,TX,77301,,STATE COMMERCIAL BANKS,"TX, US",6022,1231,SEC,Accelerated
PEOPLES FINANCIAL SERVICES CORP.,1139541,150 N WASHINGTON AVE,SCRANTON,PA,18503,,NATIONAL COMMERCIAL BANKS,"PA, US",6021,1231,SEC,Accelerated
WEST BANCORPORATION INC,1210066,1601 22ND ST,WEST DES MOINES,IA,50266,,STATE COMMERCIAL BANKS,"IA, US",6022,1231,SEC,Accelerated
SUMMIT FINANCIAL GROUP INC,1247679,300 NORTH MAIN ST,MOOREFIELD,WV,26836,,STATE COMMERCIAL BANKS,"WV, US",6022,1231,SEC,Accelerated
ALERUS FINANCIAL CORP,,401 DEMERS AVE,GRAND FORKS,ND,58201,,NATIONAL COMMERCIAL BANKS,"DE, US",6021,1231,SEC,Non-Accelerated
HOWARD BANCORP INC,3386910,3301 BOSTON STREET,BALTIMORE,MD,21224,,STATE COMMERCIAL BANKS,"MD, US",6022,1231,SEC,Accelerated
AMERICAN NATIONAL BANKSHARES INC.,1076691,628 MAIN ST,DANVILLE,VA,24541,,NATIONAL COMMERCIAL BANKS,"VA, US",6021,1231,SEC,Accelerated
PEOPLE'S UTAH BANCORP,2748995,1 EAST MAIN STREET,AMERICAN FORK,UT,84003,,STATE COMMERCIAL BANKS,US,6022,1231,SEC,Accelerated
BRIDGEWATER BANCSHARES INC,3378764,3800 AMERICAN BOULEVARD WEST,BLOOMINGTON,MN,55431,,STATE COMMERCIAL BANKS,"MN, US",6022,1231,SEC,Accelerated
GUARANTY BANCSHARES INC /TX/,1862036,201 SOUTH JEFFERSON AVENUE,MOUNT PLEASANT,TX,75455,,NATIONAL COMMERCIAL BANKS,"TX, US",6021,1231,SEC,Accelerated
ORRSTOWN FINANCIAL SERVICES INC,1248153,77 E KING STREET,SHIPPENSBURG,PA,17257,,STATE COMMERCIAL BANKS,"PA, US",6022,1231,SEC,Accelerated
SOUTHERN FIRST BANCSHARES INC,2849799,100 VERDAE BOULEVARD,GREENVILLE,SC,29607,,NATIONAL COMMERCIAL BANKS,"SC, US",6021,1231,SEC,Accelerated
SILVERGATE CAPITAL CORP,,4250 EXECUTIVE SQUARE STE 300,LA JOLLA,CA,92037,,STATE COMMERCIAL BANKS,"MD, US",6022,1231,SEC,Non-Accelerated
MID PENN BANCORP INC,1944204,349 UNION STREET,MILLERSBURG,PA,17061,,STATE COMMERCIAL BANKS,"PA, US",6022,1231,SEC,Accelerated
"BUSINESS FIRST BANCSHARES, INC.",3488850,500 LAUREL STREET,BATON ROUGE,LA,70801,,STATE COMMERCIAL BANKS,"LA, US",6022,1231,SEC,Accelerated
BANK FIRST CORP,1208009,402 NORTH EIGHTH STREET,MANITOWOC,WI,54220,,NATIONAL COMMERCIAL BANKS,"WI, US",6021,1231,SEC,Accelerated
INVESTAR HOLDING CORP,4090054,10500 COURSEY BLVD,BATON ROUGE,LA,70816,,STATE COMMERCIAL BANKS,"LA, US",6022,1231,SEC,Accelerated
"FIRST BUSINESS FINANCIAL SERVICES, INC.",1247428,401 CHARMANY DRIVE,MADISON,WI,53719,,STATE COMMERCIAL BANKS,"WI, US",6022,1231,SEC,Accelerated
ACNB CORP,1117464,16 LINCOLN SQUARE,GETTYSBURG,PA,17325,,STATE COMMERCIAL BANKS,"PA, US",6022,1231,SEC,Accelerated
"RELIANT BANCORP, INC.",3729562,1736 CAROTHERS PARKWAY,BRENTWOOD,TN,37027,,STATE COMMERCIAL BANKS,"TN, US",6022,1231,SEC,Accelerated
BAYCOM CORP,5069897,500 YGNACIO VALLEY ROAD,WALNUT CREEK,CA,94596,,STATE COMMERCIAL BANKS,,6022,1231,SEC,Accelerated
"FIRST BANCORP, INC /ME/",1133932,P.O. BOX 940,DAMARISCOTTA,ME,04543,,NATIONAL COMMERCIAL BANKS,"ME, US",6021,1231,SEC,Accelerated
MVB FINANCIAL CORP,3211601,301 VIRGINIA AVENUE,FAIRMONT,WV,26554-2777,,STATE COMMERCIAL BANKS,"WV, US",6022,1231,SEC,Accelerated
SB ONE BANCORP,2461463,399 RTE 23,FRANKLIN,NJ,07416,,STATE COMMERCIAL BANKS,"NJ, US",6022,1231,SEC,Accelerated
"CAPSTAR FINANCIAL HOLDINGS, INC.",4933272,"1201 DEMONBREUN STREET, SUITE 700",NASHVILLE,TN,37203,,STATE COMMERCIAL BANKS,"TN, US",6022,1231,SEC,Accelerated
"BANKWELL FINANCIAL GROUP, INC.",3553815,208 ELM STREET,NEW CANAAN,CT,06840,,STATE COMMERCIAL BANKS,"CT, US",6022,1231,SEC,Accelerated
MACATAWA BANK CORP,2634696,10753 MACATAWA DRIVE,HOLLAND,MI,49424,,STATE COMMERCIAL BANKS,"MI, US",6022,1231,SEC,Accelerated
RED RIVER BANCSHARES INC,2743235,1412 CENTRE COURT DRIVE,ALEXANDRIA,LA,71301,,STATE COMMERCIAL BANKS,,6022,1231,SEC,Non-Accelerated
LEVEL ONE BANCORP INC,3612543,32991 HAMILTON COURT,FARMINGTON HILLS,MI,48334,,STATE COMMERCIAL BANKS,"MI, US",6022,1231,SEC,Accelerated
C & F FINANCIAL CORP,2183493,EIGHTH & MAIN STREETS,WEST POINT,VA,23181,,STATE COMMERCIAL BANKS,"VA, US",6022,1231,SEC,Accelerated
CHEMUNG FINANCIAL CORP,1133594,ONE CHEMUNG CANAL PLZ,ELMIRA,NY,14902,,STATE COMMERCIAL BANKS,"NY, US",6022,1231,SEC,Accelerated
COMMUNITY FINANCIAL CORP /MD/,2523389,3035 LEONARDTOWN RD,WALDORF,MD,20601,,STATE COMMERCIAL BANKS,"MD, US",6022,1231,SEC,Accelerated
ISABELLA BANK CORP,1401118,401 NORTH MAIN STREET,MT PLEASANT,MI,48858,,STATE COMMERCIAL BANKS,"MI, US",6022,1231,SEC,Non-Accelerated
"PARKE BANCORP, INC.",3347292,601 DELSEA DRIVE,WASHINGTON TOWNSHIP,NJ,08080,,STATE COMMERCIAL BANKS,"NJ, US",6022,1231,SEC,Accelerated
PCB BANCORP,3595084,3701 WILSHIRE BLVD,LOS ANGELES,CA,90010,,STATE COMMERCIAL BANKS,,6022,1231,SEC,Accelerated
AMES NATIONAL CORP,1202258,PO BOX 846,AMES,IA,50010,,NATIONAL COMMERCIAL BANKS,"IA, US",6021,1231,SEC,Accelerated
FIRST CHOICE BANCORP,5163003,"17785 CENTER COURT DRIVE N., SUITE 750",CERRITOS,CA,90703,,STATE COMMERCIAL BANKS,"CA, US",6022,1231,SEC,Accelerated
PREMIER FINANCIAL BANCORP INC,2007647,2883 FIFTH AVENUE,HUNTINGTON,WV,25702,,STATE COMMERCIAL BANKS,"KY, US",6022,1231,SEC,Accelerated
UNITY BANCORP INC /NJ/,2181426,64 OLD HIGHWAY 22,CLINTON,NJ,08809,,STATE COMMERCIAL BANKS,"NJ, US",6022,1231,SEC,Accelerated
PENNS WOODS BANCORP INC,1117688,115 S MAIN ST,JERSEY SHORE,PA,17740,,STATE COMMERCIAL BANKS,"PA, US",6022,1231,SEC,Accelerated
PROFESSIONAL HOLDING CORP.,,"396 ALHAMBRA CIRCLE, STE. 255",CORAL GABLES,FL,33146,,NATIONAL COMMERCIAL BANKS,"FL, US",6021,1231,SEC,Non-Accelerated
LCNB CORP,2759900,2 NORTH BROADWAY,LEBANON,OH,45036,,NATIONAL COMMERCIAL BANKS,"OH, US",6021,1231,SEC,Accelerated
CITIZENS & NORTHERN CORP,1143623,90-92 MAIN ST,WELLSBORO,PA,16901,,STATE COMMERCIAL BANKS,"PA, US",6022,1231,SEC,Accelerated
CENTRAL VALLEY COMMUNITY BANCORP,2935405,"7100 N. FINANCIAL DRIVE, #101",FRESNO,CA,93720,,STATE COMMERCIAL BANKS,"CA, US",6022,1231,SEC,Accelerated
"METROCITY BANKSHARES, INC.",,5114 BUFORD HIGHWAY,DORAVILLE,GA,30340,,STATE COMMERCIAL BANKS,"GA, US",6022,1231,SEC,Non-Accelerated
"FVCBANKCORP, INC.",4875907,11325 RANDOM HILLS ROAD,FAIRFAX,VA,22030,,STATE COMMERCIAL BANKS,"VA, US",6022,1231,SEC,Accelerated
PACIFIC MERCANTILE BANCORP,2869733,949 SOUTH COAST DRIVE,COSTA MESA,CA,92626,,NATIONAL COMMERCIAL BANKS,"CA, US",6021,1231,SEC,Accelerated
SHORE BANCSHARES INC,2429838,18 EAST DOVER STREET,EASTON,MD,21601-3013,,NATIONAL COMMERCIAL BANKS,"MD, US",6021,1231,SEC,Accelerated
"HAWTHORN BANCSHARES, INC.",2038409,132 EAST HIGH STREET,JEFFERSON CITY,MO,65101,,NATIONAL COMMERCIAL BANKS,"MO, US",6021,1231,SEC,Accelerated
EVANS BANCORP INC,1401190,ONE GRIMSBY DRIVE,HAMBURG,NY,14075,,NATIONAL COMMERCIAL BANKS,"NY, US",6021,1231,SEC,Non-Accelerated
COLONY BANKCORP INC,1085170,115 SOUTH GRANT STREET,FITZGERALD,GA,31750,,STATE COMMERCIAL BANKS,"GA, US",6022,1231,SEC,Accelerated
CAPITAL BANCORP INC,2808590,One Church Street,ROCKVILLE,MD,20850,,NATIONAL COMMERCIAL BANKS,,6021,1231,SEC,Accelerated
CITIZENS FINANCIAL SERVICES INC,1118368,15 S MAIN ST,MANSFIELD,PA,16933,,STATE COMMERCIAL BANKS,"PA, US",6022,1231,SEC,Accelerated
FIRST UNITED CORP/MD/,1132672,19 S SECOND ST,OAKLAND,MD,21550,,NATIONAL COMMERCIAL BANKS,"MD, US",6021,1231,SEC,Accelerated
BANK OF COMMERCE HOLDINGS,1030040,1901 CHURN CREEK ROAD,REDDING,CA,96002,,STATE COMMERCIAL BANKS,"CA, US",6022,1231,SEC,Accelerated
COMMUNITY BANKERS TRUST CORP,3687046,9954 MAYLAND DRIVE,RICHMOND,VA,23233,,STATE COMMERCIAL BANKS,"VA, US",6022,1231,SEC,Accelerated
RIVER FINANCIAL CORP,4422851,2611 LEGENDS DRIVE,PRATTVILLE,AL,36066,,STATE COMMERCIAL BANKS,"AL, US",6022,1231,SEC,Non-Accelerated
CHOICEONE FINANCIAL SERVICES INC,1139297,109 E DIVISION,SPARTA,MI,49345-0186,,STATE COMMERCIAL BANKS,"MI, US",6022,1231,SEC,Accelerated
MACKINAC FINANCIAL CORP /MI/,1123933,130 SOUTH CEDAR STREET,MANISTIQUE,MI,49854,,STATE COMMERCIAL BANKS,"MI, US",6022,1231,SEC,Accelerated
"COUNTY BANCORP, INC.",2524788,860 NORTH RAPIDS ROAD,MANITOWOC,WI,54221-0700,,STATE COMMERCIAL BANKS,"WI, US",6022,1231,SEC,Accelerated
FIRST WESTERN FINANCIAL INC,3189906,"1900 SIXTEENTH ST, #1200",DENVER,CO,80202,,STATE COMMERCIAL BANKS,"CO, US",6022,1231,SEC,Accelerated
"FIRST FINANCIAL NORTHWEST, INC.",3843628,201 WELLS AVENUE SOUTH,RENTON,WA,98057,,STATE COMMERCIAL BANKS,,6022,1231,SEC,Accelerated
"MAINSTREET BANCSHARES, INC.",4977397,10089 FAIRFAX BOULEVARD,FAIRFAX,VA,22030,,STATE COMMERCIAL BANKS,"VA, US",6022,1231,SEC,Non-Accelerated
NATIONAL BANKSHARES INC,1139925,101 HUBBARD STREET,BLACKSBURG,VA,24060,,NATIONAL COMMERCIAL BANKS,"VA, US",6021,1231,SEC,Accelerated
"CB FINANCIAL SERVICES, INC.",3333718,100 NORTH MARKET STREET,CARMICHAELS,PA,15320,,STATE COMMERCIAL BANKS,"PA, US",6022,1231,SEC,Accelerated
MERIDIAN CORP,5033580,9 OLD LINCOLN HIGHWAY,MALVERN,PA,19355,,NATIONAL COMMERCIAL BANKS,"PA, US",6021,1231,SEC,Accelerated
"LIMESTONE BANCORP, INC.",1249712,2500 EASTPOINT PARKWAY,LOUISVILLE,KY,40223,,NATIONAL COMMERCIAL BANKS,"KY, US",6021,1231,SEC,Accelerated
MARLIN BUSINESS SERVICES CORP,3832583,300 FELLOWSHIP ROAD,MT. LAUREL,NJ,08054,,STATE COMMERCIAL BANKS,,6022,1231,SEC,Accelerated
"SELECT BANCORP, INC.",3207659,MARK A JEFFRIES,DUNN,NC,283351988,,STATE COMMERCIAL BANKS,"NC, US",6022,1231,SEC,Accelerated
DELMAR BANCORP,,2245 NORTHWOOD DRIVE,SALISBURY,MD,21801,,STATE COMMERCIAL BANKS,"MD, US",6022,1231,SEC,Non-Accelerated
FRANKLIN FINANCIAL SERVICES CORP /PA/,1118238,20 S MAIN ST,CHAMBERSBURG,PA,17201-0819,,STATE COMMERCIAL BANKS,"PA, US",6022,1231,SEC,Accelerated
"FNCB BANCORP, INC.",2560263,102 EAST DRINKER STREET,DUMORE,PA,18512,,NATIONAL COMMERCIAL BANKS,"PA, US",6021,1231,SEC,Accelerated
PEOPLES BANCORP OF NORTH CAROLINA INC,2818245,518 WEST C STREET,NEWTON,NC,28658-4007,,STATE COMMERCIAL BANKS,"NC, US",6022,1231,SEC,Accelerated
NORWOOD FINANCIAL CORP,2365356,717 MAIN ST,HONESDALE,PA,18431,,STATE COMMERCIAL BANKS,"PA, US",6022,1231,SEC,Accelerated
QNB CORP,1118434,15 NORTH THIRD STREET,QUAKERTOWN,PA,18951-9005,,STATE COMMERCIAL BANKS,"PA, US",6022,1231,SEC,Accelerated
CITIZENS HOLDING CO /MS/,1083475,P O BOX 209,PHILADELPHIA,MS,39350,,STATE COMMERCIAL BANKS,"MS, US",6022,1231,SEC,Accelerated
MIDDLEFIELD BANC CORP,1398740,15985 E HIGH ST,MIDDLEFILED,OH,44062-9263,,STATE COMMERCIAL BANKS,"OH, US",6022,1231,SEC,Accelerated
OP BANCORP,4980409,"1000 WILSHIRE BLVD., SUITE 500",LOS ANGELES,CA,90017,,STATE COMMERCIAL BANKS,"CA, US",6022,1231,SEC,Accelerated
CALIFORNIA BANCORP,,1300 CLAY STREET,OAKLAND,CA,94612,,STATE COMMERCIAL BANKS,"CA, US",6022,1231,SEC,Non-Accelerated
"EMBASSY BANCORP, INC.",3806511,100 GATEWAY DRIVE,BETHLEHEM,PA,18017,,STATE COMMERCIAL BANKS,"PA, US",6022,1231,SEC,Accelerated
FIRST COMMUNITY CORP /SC/,2337401,5455 SUNSET BLVD,LEXINGTON,SC,29072,,STATE COMMERCIAL BANKS,"SC, US",6022,1231,SEC,Accelerated
COASTAL FINANCIAL CORP,3203008,2817 COLBY AVENUE,EVERETT,WA,98201,,STATE COMMERCIAL BANKS,"WA, US",6022,1231,SEC,Accelerated
BAY BANKS OF VIRGINIA INC,2560665,1801 BAYBERRY COURT,RICHMOND,VA,23226,,STATE COMMERCIAL BANKS,"VA, US",6022,1231,SEC,Accelerated
ENB FINANCIAL CORP,3695957,31 E MAIN STREET,EPHRATA,PA,17522-0457,,NATIONAL COMMERCIAL BANKS,"PA, US",6021,1231,SEC,Non-Accelerated
"EAGLE BANCORP MONTANA, INC.",4126609,1400 PROSPECT AVE.,HELENA,MT,59604,,STATE COMMERCIAL BANKS,"DE, US",6022,1231,SEC,Accelerated
OAK VALLEY BANCORP,3726440,125 N. THIRD AVE.,OAKDALE,CA,95361,,STATE COMMERCIAL BANKS,"CA, US",6022,1231,SEC,Accelerated
KENTUCKY BANCSHARES INC /KY/,1070831,4TH & MAIN ST,PARIS,KY,40362-0157,,STATE COMMERCIAL BANKS,"KY, US",6022,1231,SEC,Accelerated
RIVERVIEW FINANCIAL CORP,2727495,3901 NORTH FRONT STREET,HARRISBURG,PA,17110,,NATIONAL COMMERCIAL BANKS,"PA, US",6021,1231,SEC,Accelerated
"PATHFINDER BANCORP, INC.",2596776,214 WEST FIRST STREET,OSWEGO,NY,13126,,STATE COMMERCIAL BANKS,"MD, US",6022,1231,SEC,Non-Accelerated
"SB FINANCIAL GROUP, INC.",1071454,401 CLINTON ST,DEFIANCE,OH,43512,,STATE COMMERCIAL BANKS,"OH, US",6022,1231,SEC,Accelerated
OLD POINT FINANCIAL CORP,1076673,1 WEST MELLEN ST,HAMPTON,VA,23663,,NATIONAL COMMERCIAL BANKS,"VA, US",6021,1231,SEC,Accelerated
FIDELITY D & D BANCORP INC,2858773,BLAKELY & DRINKER STREETS,DUNMORE,PA,18512,,NATIONAL COMMERCIAL BANKS,"PA, US",6021,1231,SEC,Accelerated
OHIO VALLEY BANC CORP,2012436,420 THIRD AVE,GALLIPOLIS,OH,45631,,STATE COMMERCIAL BANKS,"OH, US",6022,1231,SEC,Accelerated
SECURITY FEDERAL CORP,1253773,238 RICHLAND AVENUE NW,AIKEN,SC,29801,,STATE COMMERCIAL BANKS,"SC, US",6022,1231,SEC,Non-Accelerated
GUARANTY FEDERAL BANCSHARES INC,2618940,1341 WEST BATTLEFIELD,SPRINGFIELD,MO,65807,,STATE COMMERCIAL BANKS,"DE, US",6022,1231,SEC,Accelerated
"BLUE RIDGE BANKSHARES, INC.",,17 WEST MAIN STREET,LURAY,VA,22835,,STATE COMMERCIAL BANKS,"VA, US",6022,1231,SEC,Non-Accelerated
FIRST KEYSTONE CORP,1118265,111 W FRONT ST,BERWICK,PA,18603,,STATE COMMERCIAL BANKS,"PA, US",6022,1231,SEC,Accelerated
"RICHMOND MUTUAL BANCORPORATION, INC.",2624389,37 N. 9TH STREET,RICHMOND,IN,47374,,STATE COMMERCIAL BANKS,"MD, US",6022,1231,SEC,Non-Accelerated
PATRIOT NATIONAL BANCORP INC,2840479,900 BEDFORD ST,STAMFORD,CT,06901,,NATIONAL COMMERCIAL BANKS,"CT, US",6021,1231,SEC,Non-Accelerated
STANDARD AVB FINANCIAL CORP.,4183442,2640 MONROEVILLE BOULEVARD,MONROEVILLE,PA,15146,,STATE COMMERCIAL BANKS,,6022,1231,SEC,Accelerated
LANDMARK BANCORP INC,3030307,701 POYNTZ AVENUE,MANHATTAN,KS,66502,,NATIONAL COMMERCIAL BANKS,"CA, US",6021,1231,SEC,Accelerated
UNITED SECURITY BANCSHARES,3015975,2126 INYO STREET,FRESNO,CA,93721,,NATIONAL COMMERCIAL BANKS,"CA, US",6021,1231,SEC,Accelerated
BANK7 CORP.,3256134,1039 NW 63RD STREET,OKLAHOMA CITY,OK,73116,,STATE COMMERCIAL BANKS,"OK, US",6022,1231,SEC,Non-Accelerated
CENTRAL FEDERAL CORP,3828577,C/O CFBANK,WORTHINGTON,OH,43085,,NATIONAL COMMERCIAL BANKS,"DE, US",6021,1231,SEC,Non-Accelerated
EMCLAIRE FINANCIAL CORP,1480944,612 MAIN ST,EMLENTON,PA,16373,,NATIONAL COMMERCIAL BANKS,"PA, US",6021,1231,SEC,Non-Accelerated
COMMUNITY WEST BANCSHARES /,2626299,445 PINE AVE,GOLETA,CA,93117,,STATE COMMERCIAL BANKS,"CA, US",6022,1231,SEC,Non-Accelerated
UNITED BANCSHARES INC/OH,1136009,105 PROGRESSIVE DRIVE,COLUMBUS GROVE,OH,45830,,NATIONAL COMMERCIAL BANKS,"OH, US",6021,1231,SEC,Non-Accelerated
EAGLE FINANCIAL SERVICES INC,1951770,2 E MAIN ST,BERRYVILLE,VA,22611,,STATE COMMERCIAL BANKS,"VA, US",6022,1231,SEC,Accelerated
UNION BANKSHARES INC,1114940,P O BOX 667,MORRISVILLE,VT,05661-0667,,STATE COMMERCIAL BANKS,"VT, US",6022,1231,SEC,Accelerated
SEVERN BANCORP INC,3831465,200 WESTGATE CIRCLE,ANNAPOLIS,MD,21404,,NATIONAL COMMERCIAL BANKS,"MD, US",6021,1231,SEC,Accelerated
"AUBURN NATIONAL BANCORPORATION, INC",1129533,100 N GAY ST,AUBURN,AL,36831-3110,,STATE COMMERCIAL BANKS,"DE, US",6022,1231,SEC,Accelerated
F&M BANK CORP,1076495,P.O. BOX 1111,TIMBERVILLE,VA,22853,,STATE COMMERCIAL BANKS,"VA, US",6022,1231,SEC,Accelerated
FIRST NATIONAL CORP /VA/,1076123,112 WEST KING STREET,STRASBURG,VA,22657,,STATE COMMERCIAL BANKS,"VA, US",6022,1231,SEC,Accelerated
CSB BANCORP INC /OH,1967865,91 NORTH CLAY ST,MILLERSBURG,OH,44654,,STATE COMMERCIAL BANKS,"OH, US",6022,1231,SEC,Accelerated
FIRST US BANCSHARES INC,1086168,3291 U.S. HIGHWAY 280,BIRMINGHAM,AL,35243,,STATE COMMERCIAL BANKS,"DE, US",6022,1231,SEC,Non-Accelerated
COMMUNITY BANCORP /VT,1115040,4811 US ROUTE 5,DERBY,VT,05829,,NATIONAL COMMERCIAL BANKS,"VT, US",6021,1231,SEC,Accelerated
BANK OF THE JAMES FINANCIAL GROUP INC,3217032,P O BOX 1200,LYNCHBURG,VA,24505,,STATE COMMERCIAL BANKS,"VA, US",6022,1231,SEC,Non-Accelerated
"FAUQUIER BANKSHARES, INC.",1076600,10 COURTHOUSE,WARRENTON,VA,20186,,STATE COMMERCIAL BANKS,"VA, US",6022,1231,SEC,Accelerated
VIRGINIA NATIONAL BANKSHARES CORP,4517261,404 PEOPLE PLACE,CHARLOTTESVILLE,VA,22911,,NATIONAL COMMERCIAL BANKS,"VA, US",6021,1231,SEC,Accelerated
PARKWAY ACQUISITION CORP.,4949303,101 JACKSONVILLE CIRCLE,FLOYD,VA,24091,,STATE COMMERCIAL BANKS,"VA, US",6022,1231,SEC,Non-Accelerated
AMERICAN RIVER BANKSHARES,2312837,3100 ZINFANDEL DRIVE,RANCHO CORDOVA,CA,95670,,STATE COMMERCIAL BANKS,"CA, US",6022,1231,SEC,Accelerated
